                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r23.05.1"          1.9986325976443591E+000          1.5989060781154874E+000          2.7645235194116240E+003                       "gfortran"                         "10.2.0"            "x86_64-linux-21.4.1"                       "20260323" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31                               32                               33 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index                       Omega_star                        Omega_orb 
                               1          1.0000000000000000E+002          2.7638279901210353E+003          1.2699191953625952E+003          1.0331973655488980E+001          1.2914292520041871E+001          5.0590441059643132E+002          4.5688740551578479E+002         -2.7843965870808168E-001         -1.0000000000000000E+000          1.9985282093547783E+000          1.5989060784212579E+000         -1.1489028202076076E+001         -5.9813482183411484E+000         -1.1514604463299767E+001         -9.8999999999999986E+001         -1.2731700827471464E+001         -5.9813495676302173E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.9291644526207782E-006          3.6274177548347333E+053         -1.4533871450352425E+040          0.0000000000000000E+000         -4.2256096421854996E+025         -2.6687555081082949E+039         -1.1865115942244089E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          5.7562338665617989E-010          2.6312076014269509E-008 
                               2          1.8000000000000000E+002          2.7633232947515326E+003          1.2697579171277985E+003          1.0332711278499680E+001          1.2914847824443227E+001          5.0583699682643282E+002          4.5683244556068229E+002         -3.0941831931406405E-001         -1.0000000000000000E+000          1.9984714690916923E+000          1.5989060784255722E+000         -1.3242590372111456E+001         -6.1491986418462252E+000         -1.3268166633345528E+001         -9.8999999999999986E+001         -1.4485262997335701E+001         -6.1491986768723903E+000         -9.8999999999999986E+001          1.0000000000000000E+000          7.6038231679802875E-008          3.6271130333790088E+053         -1.2070050309763578E+040          0.0000000000000000E+000         -4.2278882237630907E+025         -1.8131278739510152E+039         -1.0256922435812521E+040          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          1.4690099414231196E-009          2.6316881670904627E-008 
                               3          2.4400000000000000E+002          2.7629286848300521E+003          1.2696350452902500E+003          1.0333235494559817E+001          1.2915393956517246E+001          5.0578710672011488E+002          4.5678915030975696E+002         -3.3313711267156815E-001         -1.0000000000000000E+000          1.9984545898726114E+000          1.5989060784256743E+000         -1.4771438550867011E+001         -6.5788276239151475E+000         -1.4797014812101230E+001         -9.8999999999999986E+001         -1.6014111176088839E+001         -6.5788276267023820E+000         -9.8999999999999986E+001          1.0000000000000000E+000          6.0508001893209385E-009          3.6269154106024081E+053         -9.7848248421534632E+039          0.0000000000000000E+000         -4.2296257385090106E+025         -6.7417485929013389E+038         -9.1106499828632872E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.2379635815546035E-009          2.6320640328399768E-008 
                               4          2.9519999999999999E+002          2.7626250391198714E+003          1.2695412559248014E+003          1.0333626529332808E+001          1.2915840634559387E+001          5.0574938065368246E+002          4.5675575828319472E+002         -3.4895054687339044E-001         -1.0000000000000000E+000          1.9984480801541162E+000          1.5989060784257105E+000         -1.5123621068978373E+001         -6.8957077525361177E+000         -1.5149197330212596E+001         -9.8999999999999986E+001         -1.6366293694200145E+001         -6.8957077551057502E+000         -9.8999999999999986E+001          1.0000000000000000E+000          5.5784098920860069E-009          3.6267729136537912E+053         -8.8192496503938705E+039          0.0000000000000000E+000         -4.2310113247911023E+025         -3.2499147111241046E+038         -8.4942581792814181E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.4870352724666558E-009          2.6323533283256746E-008 
                               5          3.3615999999999997E+002          2.7623890075202485E+003          1.2694685623521102E+003          1.0333927052368761E+001          1.2916195284455720E+001          5.0572024067569214E+002          4.5672977975597621E+002         -3.5904470666586052E-001         -1.0000000000000000E+000          1.9984448357138318E+000          1.5989060784257154E+000         -1.5895575200000817E+001         -7.1012201627988452E+000         -1.5921151461235040E+001         -9.8999999999999986E+001         -1.7138247825222567E+001         -7.1012201634961611E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.5138006994403719E-009          3.6266648257862995E+053         -8.3620552654083121E+039          0.0000000000000000E+000         -4.2320847860532022E+025         -2.0246217783136966E+038         -8.1595930875769006E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.6140956759717968E-009          2.6325782490610109E-008 
                               6          3.6892800000000000E+002          2.7622053675096904E+003          1.2694120730489974E+003          1.0334159752818637E+001          1.2916473662788091E+001          5.0569762936391948E+002          4.5670956018507269E+002         -3.6618912944675114E-001         -1.0000000000000000E+000          1.9984429063644640E+000          1.5989060784257161E+000         -1.6665910649451170E+001         -7.2300390578165139E+000         -1.6691486910685395E+001         -9.8999999999999986E+001         -1.7908583274672921E+001         -7.2300390579757021E+000         -9.8999999999999986E+001          1.0000000000000000E+000          3.4558282232439056E-010          3.6265816058385527E+053         -8.0477325807848627E+039          0.0000000000000000E+000         -4.2329217232017877E+025         -1.5049180302403259E+038         -7.8972407777607876E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.7103226406256525E-009          2.6327532710572534E-008 
                               7          3.9514240000000001E+002          2.7620614176226541E+003          1.2693678222600468E+003          1.0334341680064050E+001          1.2916692942320369E+001          5.0567993116647284E+002          4.5669370734562597E+002         -3.7110084017832190E-001         -1.0000000000000000E+000          1.9984416519220982E+000          1.5989060784257163E+000         -1.7230082114014106E+001         -7.3200892091656451E+000         -1.7255658375248331E+001         -9.8999999999999986E+001         -1.8472754739235853E+001         -7.3200892092190761E+000         -9.8999999999999986E+001          1.0000000000000000E+000          1.1599274704707007E-010          3.6265167511840143E+053         -7.8396605994007131E+039          0.0000000000000000E+000         -4.2335739571898694E+025         -1.2230753620340405E+038         -7.7173530631972672E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.7814909612489950E-009          2.6328904818135184E-008 
                               8          4.1781263544936019E+002          2.7619389703732222E+003          1.2693301956021685E+003          1.0334496201858588E+001          1.2916879988474859E+001          5.0566488926676163E+002          4.5668022085856177E+002         -3.7498925196986466E-001         -1.0000000000000000E+000          1.9984407100709634E+000          1.5989060784257163E+000         -1.7631776372393578E+001         -7.3814737651965245E+000         -1.7657352633627799E+001         -9.8999999999999986E+001         -1.8874448997615325E+001         -7.3814737652209290E+000         -9.8999999999999986E+001          1.0000000000000000E+000          5.2981119596964216E-011          3.6264617677107047E+053         -7.6855008164406292E+039          0.0000000000000000E+000         -4.2340855017768262E+025         -1.0618452867495893E+038         -7.5793162877656281E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.8403064448027620E-009          2.6330072078530914E-008 
                               9          4.3973248402760629E+002          2.7618222515229991E+003          1.2692943384620414E+003          1.0334643344321128E+001          1.2917058632085210E+001          5.0565055937636754E+002          4.5666736414995233E+002         -3.7826830778180182E-001         -1.0000000000000000E+000          1.9984398952259239E+000          1.5989060784257163E+000         -1.7954660855166647E+001         -7.4297625235587619E+000         -1.7980237116400868E+001         -9.8999999999999986E+001         -1.9197333480388394E+001         -7.4297625235717311E+000         -9.8999999999999986E+001          1.0000000000000000E+000          2.8153047116745789E-011          3.6264094777104678E+053         -7.5592224708808574E+039          0.0000000000000000E+000         -4.2345206782854804E+025         -9.5009315330406796E+037         -7.4642131555504078E+039          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2          2.8930582458602723E-009          2.6331184827817222E-008 
